root@notebook-1898717724949078018-scngsz9kqh-56749:~# python model.py 
Training Original BotRGCN:
Epoch 078 | Loss: 0.0335 | Val Acc: 0.9773 | Val F1: 0.9757
Epoch 079 | Loss: 0.0331 | Val Acc: 0.9792 | Val F1: 0.9777
Epoch 080 | Loss: 0.0298 | Val Acc: 0.9802 | Val F1: 0.9787
Epoch 081 | Loss: 0.0313 | Val Acc: 0.9820 | Val F1: 0.9807
Epoch 082 | Loss: 0.0327 | Val Acc: 0.9802 | Val F1: 0.9787
Epoch 083 | Loss: 0.0393 | Val Acc: 0.9811 | Val F1: 0.9797
Epoch 084 | Loss: 0.0284 | Val Acc: 0.9792 | Val F1: 0.9777
Epoch 085 | Loss: 0.0283 | Val Acc: 0.9783 | Val F1: 0.9767
Epoch 086 | Loss: 0.0297 | Val Acc: 0.9764 | Val F1: 0.9747
Epoch 087 | Loss: 0.0326 | Val Acc: 0.9773 | Val F1: 0.9757
Epoch 088 | Loss: 0.0263 | Val Acc: 0.9783 | Val F1: 0.9767
Epoch 089 | Loss: 0.0302 | Val Acc: 0.9811 | Val F1: 0.9797
Epoch 090 | Loss: 0.0309 | Val Acc: 0.9802 | Val F1: 0.9787
Epoch 091 | Loss: 0.0307 | Val Acc: 0.9783 | Val F1: 0.9767
Epoch 092 | Loss: 0.0285 | Val Acc: 0.9792 | Val F1: 0.9777
Epoch 093 | Loss: 0.0284 | Val Acc: 0.9811 | Val F1: 0.9797
Epoch 094 | Loss: 0.0297 | Val Acc: 0.9792 | Val F1: 0.9777
Epoch 095 | Loss: 0.0254 | Val Acc: 0.9802 | Val F1: 0.9787
Epoch 096 | Loss: 0.0287 | Val Acc: 0.9792 | Val F1: 0.9777
Epoch 097 | Loss: 0.0265 | Val Acc: 0.9792 | Val F1: 0.9777
Epoch 098 | Loss: 0.0270 | Val Acc: 0.9792 | Val F1: 0.9777
Epoch 099 | Loss: 0.0267 | Val Acc: 0.9811 | Val F1: 0.9797
Epoch 100 | Loss: 0.0248 | Val Acc: 0.9820 | Val F1: 0.9807
Epoch 101 | Loss: 0.0282 | Val Acc: 0.9792 | Val F1: 0.9777
Early stopping at epoch 101
Final Test Accuracy: 0.8785 | Test F1: 0.8751

Ablation - Text Features Only:
Epoch 001 | Loss: 0.6950 | Val Acc: 0.6323 | Val F1: 0.3874
Epoch 002 | Loss: 0.7602 | Val Acc: 0.3677 | Val F1: 0.2688
Epoch 003 | Loss: 0.9140 | Val Acc: 0.7363 | Val F1: 0.7096
Epoch 004 | Loss: 0.5952 | Val Acc: 0.8138 | Val F1: 0.7799
